Time,DistrictCode,TypeCode,Popularity
2017-12-03-07,1,1,16
2017-12-03-08,1,1,17
2017-12-03-09,1,1,16
2017-12-03-10,1,1,13
2017-12-03-11,1,1,14
2017-12-03-12,1,1,14
2017-12-03-13,1,1,11
2017-12-03-14,1,1,9
2017-12-03-15,1,1,3
2017-12-03-16,1,1,3
2017-12-03-17,1,1,6
2017-12-03-18,1,1,6
2017-12-03-19,1,1,11
2017-12-03-20,1,1,9
2017-12-03-21,1,1,18
2017-12-03-22,1,1,19
2017-12-03-23,1,1,16
2017-12-04-00,1,1,19
2017-12-04-01,1,1,25
2017-12-04-02,1,1,22
2017-12-04-03,1,1,24
2017-12-04-04,1,1,19
2017-12-04-05,1,1,20
2017-12-04-06,1,1,14
2017-12-04-07,1,1,19
2017-12-04-08,1,1,21
2017-12-04-09,1,1,20
2017-12-04-10,1,1,21
2017-12-04-11,1,1,26
2017-12-04-12,1,1,16
2017-12-04-13,1,1,14
2017-12-04-14,1,1,8
2017-12-04-15,1,1,5
2017-12-04-16,1,1,4
2017-12-04-17,1,1,7
2017-12-04-18,1,1,20
2017-12-04-19,1,1,28
2017-12-04-20,1,1,29
2017-12-04-21,1,1,18
2017-12-04-22,1,1,17
2017-12-04-23,1,1,9
2017-12-05-00,1,1,13
2017-12-05-01,1,1,13
2017-12-05-02,1,1,15
2017-12-05-03,1,1,11
2017-12-05-04,1,1,16
2017-12-05-05,1,1,14
2017-12-05-06,1,1,16
2017-12-05-07,1,1,18
2017-12-05-08,1,1,19
2017-12-05-09,1,1,17
2017-12-05-10,1,1,20
2017-12-05-11,1,1,16
2017-12-05-12,1,1,15
2017-12-05-13,1,1,12
2017-12-05-14,1,1,5
2017-12-05-15,1,1,6
2017-12-05-16,1,1,5
2017-12-05-17,1,1,8
2017-12-05-18,1,1,17
2017-12-05-19,1,1,33
2017-12-05-20,1,1,44
2017-12-05-21,1,1,27
2017-12-05-22,1,1,24
2017-12-05-23,1,1,16
2017-12-06-00,1,1,16
2017-12-06-01,1,1,17
2017-12-06-02,1,1,20
2017-12-06-03,1,1,18
2017-12-06-04,1,1,20
2017-12-06-05,1,1,20
2017-12-06-06,1,1,17
2017-12-06-07,1,1,18
2017-12-06-08,1,1,25
2017-12-06-09,1,1,27
2017-12-06-10,1,1,37
2017-12-06-11,1,1,29
2017-12-06-12,1,1,19
2017-12-06-13,1,1,10
2017-12-06-14,1,1,11
2017-12-06-15,1,1,6
2017-12-06-16,1,1,10
2017-12-06-17,1,1,9
2017-12-06-18,1,1,19
2017-12-06-19,1,1,35
2017-12-06-20,1,1,31
2017-12-06-21,1,1,20
2017-12-06-22,1,1,18
2017-12-06-23,1,1,13
2017-12-07-00,1,1,13
2017-12-07-01,1,1,14
2017-12-07-02,1,1,12
2017-12-07-03,1,1,9
2017-12-07-04,1,1,15
2017-12-07-05,1,1,13
2017-12-07-06,1,1,15
2017-12-07-07,1,1,22
2017-12-07-08,1,1,16
2017-12-07-09,1,1,16
2017-12-07-10,1,1,16
2017-12-07-11,1,1,17
2017-12-07-12,1,1,13
2017-12-07-13,1,1,12
2017-12-07-14,1,1,5
2017-12-07-15,1,1,5
2017-12-07-16,1,1,6
2017-12-07-17,1,1,7
2017-12-07-18,1,1,15
2017-12-07-19,1,1,23
2017-12-07-20,1,1,32
2017-12-07-21,1,1,16
2017-12-07-22,1,1,15
2017-12-07-23,1,1,16
2017-12-08-00,1,1,15
2017-12-08-01,1,1,16
2017-12-08-02,1,1,11
2017-12-08-03,1,1,12
2017-12-08-04,1,1,16
2017-12-08-05,1,1,18
2017-12-08-06,1,1,21
2017-12-08-07,1,1,21
2017-12-08-08,1,1,20
2017-12-08-09,1,1,26
2017-12-08-10,1,1,20
2017-12-08-11,1,1,24
2017-12-08-12,1,1,21
2017-12-08-13,1,1,9
2017-12-08-14,1,1,10
2017-12-08-15,1,1,5
2017-12-08-16,1,1,5
2017-12-08-17,1,1,8
2017-12-08-18,1,1,12
2017-12-08-19,1,1,24
2017-12-08-20,1,1,29
2017-12-08-21,1,1,20
2017-12-08-22,1,1,21
2017-12-08-23,1,1,17
2017-12-09-00,1,1,20
2017-12-09-01,1,1,25
2017-12-09-02,1,1,21
2017-12-09-03,1,1,24
2017-12-09-04,1,1,25
2017-12-09-05,1,1,32
2017-12-09-06,1,1,30
2017-12-09-07,1,1,34
2017-12-09-08,1,1,36
2017-12-09-09,1,1,37
2017-12-09-10,1,1,35
2017-12-09-11,1,1,41
2017-12-09-12,1,1,37
2017-12-09-13,1,1,23
2017-12-09-14,1,1,15
2017-12-09-15,1,1,13
2017-12-09-16,1,1,13
2017-12-09-17,1,1,11
2017-12-09-18,1,1,14
2017-12-09-19,1,1,21
2017-12-09-20,1,1,34
2017-12-09-21,1,1,28
2017-12-09-22,1,1,30
2017-12-09-23,1,1,25
2017-12-10-00,1,1,20
2017-12-10-01,1,1,21
2017-12-10-02,1,1,25
2017-12-10-03,1,1,21
2017-12-10-04,1,1,24
2017-12-10-05,1,1,23
2017-12-10-06,1,1,19
2017-12-10-07,1,1,21
2017-12-10-08,1,1,21
2017-12-10-09,1,1,27
2017-12-10-10,1,1,18
2017-12-10-11,1,1,23
2017-12-10-12,1,1,15
2017-12-10-13,1,1,11
2017-12-10-14,1,1,5
2017-12-10-15,1,1,4
2017-12-10-16,1,1,4
2017-12-10-17,1,1,3
2017-12-10-18,1,1,7
2017-12-10-19,1,1,9
2017-12-10-20,1,1,10
2017-12-10-21,1,1,12
2017-12-10-22,1,1,14
2017-12-10-23,1,1,11
2017-12-11-00,1,1,11
2017-12-11-01,1,1,11
2017-12-11-02,1,1,14
2017-12-11-03,1,1,10
2017-12-11-04,1,1,11
2017-12-11-05,1,1,13
2017-12-11-06,1,1,12
2017-12-11-07,1,1,17
2017-12-11-08,1,1,17
2017-12-11-09,1,1,16
2017-12-11-10,1,1,19
2017-12-11-11,1,1,21
2017-12-11-12,1,1,17
2017-12-11-13,1,1,14
2017-12-11-14,1,1,6
2017-12-11-15,1,1,3
2017-12-11-16,1,1,5
2017-12-11-17,1,1,7
2017-12-11-18,1,1,12
2017-12-11-19,1,1,18
2017-12-11-20,1,1,20
2017-12-11-21,1,1,13
2017-12-11-22,1,1,11
2017-12-11-23,1,1,9
2017-12-12-00,1,1,10
2017-12-12-01,1,1,9
2017-12-12-02,1,1,9
2017-12-12-03,1,1,10
2017-12-12-04,1,1,10
2017-12-12-05,1,1,11
2017-12-12-06,1,1,13
2017-12-12-07,1,1,15
2017-12-12-08,1,1,16
2017-12-12-09,1,1,13
2017-12-12-10,1,1,14
2017-12-12-11,1,1,17
2017-12-12-12,1,1,17
2017-12-12-13,1,1,7
2017-12-12-14,1,1,5
2017-12-12-15,1,1,4
2017-12-12-16,1,1,4
2017-12-12-17,1,1,8
2017-12-12-18,1,1,14
2017-12-12-19,1,1,19
